gbifID,spCode,FW_avg,HW_avg,references,eventDate,lat,lon,Temp,Prec,elevation,latlon,stateProvince
1586032435,G_lygdamus,15.85011186,13.03131991,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147528,1976-06-19T00:00:00,44.460394,-121.64117,7.5,805,913,44.460394 -121.64117,Oregon
1586032436,G_lygdamus,16.29464286,13.59375,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147543,1976-03-20T00:00:00,38.774605,-120.75322,14.5,1006,420,38.774605 -120.75322,California
1586032437,G_lygdamus,15.90807175,12.92600897,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147558,1978-04-12T00:00:00,36.105501,-118.52814,7.3,666,2205,36.105501 -118.52814,California
1586032438,G_lygdamus,15.9688196,12.97327394,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147527,1975-05-08T00:00:00,45.35493,-122.62152,11.7,1202,72,45.35493 -122.62152,Oregon
1586032439,G_lygdamus,15.98214286,12.67857143,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147529,1976-05-07T00:00:00,45.292899,-122.66898,11.4,1154,30,45.292899 -122.66898,Oregon
1586032440,G_lygdamus,14.86607143,12.32142857,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147535,1975-05-08T00:00:00,45.35493,-122.62152,11.7,1202,72,45.35493 -122.62152,Oregon
1586032441,G_lygdamus,13.88392857,11.74107143,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147417,1977-05-11T00:00:00,43.467244,-85.720605,7.7,873,256,43.467244 -85.720605,Michigan
1586032442,G_lygdamus,14.73214286,11.47321429,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147548,1976-03-20T00:00:00,38.774605,-120.75322,14.5,1006,420,38.774605 -120.75322,California
1586032443,G_lygdamus,14.19642857,11.5625,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147537,1975-05-08T00:00:00,45.35493,-122.62152,11.7,1202,72,45.35493 -122.62152,Oregon
1586032444,G_lygdamus,14.91071429,11.91964286,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147553,1973-04-16T00:00:00,36.436148,-121.71205,12.8,656,181,36.436148 -121.71205,California
1586032445,G_lygdamus,14.77678571,12.1875,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147554,1976-03-20T00:00:00,38.913872,-120.73863,13.5,1338,875,38.913872 -120.73863,California
1586032446,G_lygdamus,15.71428571,13.30357143,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147557,1978-03-12T00:00:00,36.105501,-118.52814,7.3,666,2205,36.105501 -118.52814,California
1586032447,G_lygdamus,12.72321429,10.17857143,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147556,1978-03-12T00:00:00,36.105501,-118.52814,7.3,666,2205,36.105501 -118.52814,California
